POS;VNP;predikativní;vztažné;délka
V-R-A-N-Z-P-D-V-R-P-N-A-N-Z-J-R-N-N-A-J-T-A-N;1;0;0;23
V-R-P-P-N-N;3;0;0;6
V-R-N-Z-T-P-A-Z-A-N;1;0;0;10
V-R-N-C-N;1;0;0;5
V-R-A-A-N-N;3;0;0;6
V-R-R-N-A-N-N;1;0;0;7
V-R-P-A-N-J-P-N-N;1;0;0;9
V-J-X-N-Z-P-V-R-P-N-A-N;0;1;0;12
V-D-D-D-Z-V-R-N-N-Z-J-D-A-N;0;1;0;14
V-R-N-R-N-A-A-N;1;0;0;8
V-R-A-N-Z-A-N;1;0;0;7
V-D-J-P-N-R-A-N-A-N;1;0;0;10
V-Z-J-V-D-A-V-J-V-P-D-A-N;0;1;0;13
V-P-D-Z-D-J-V-R-P-N-N;0;1;0;11
N-R-N-R-P-Z-J-P-V-J-V;0;1;0;11
N-R-P-N-J-V;0;3;0;6
N-R-P-P-Z-P-T-V-P-A-A-N-Z-P-P-V-V;0;1;0;17
N-Z-P-R-P-P-N-V;0;0;2;8
N-R-P-A-C-R-N-Z-J-P-T-T-V-Z-J-P-V;0;1;0;17
N-Z-N-J-N-R-N-N-Z-P-P-V;0;1;0;12
N-Z-J-P-R-P-D-V;0;4;0;8
N-Z-Z-P-C-N-V-J-D-V;0;1;0;10
N-R-N-R-N-J-R-P-V;1;0;0;9
N-R-P-N-Z-R-P-P-D-J-N-V-Z-J-V-R-N-Z-V-R-A-N-Z-Z-T-V;0;2;0;26
N-Z-V-P-R-N-P-N-Z-V;0;1;0;10
N-R-N-Z-P-P-T-R-P-R-N-D-V;0;2;0;13
N-Z-J-J-D-N-Z-V-Z-J-J-D-Z-V-P-R-P-D-Z-D-V-Z-J-P-V;0;1;0;25
N-Z-Z-P-C-N-V;0;1;0;7
N-Z-D-R-P-P-V;0;1;0;7
N-Z-P-N-V-V;0;0;1;6
N-J-R-P-Z-P-P-V-Z-V-J-V-Z-V-V;0;1;0;15
N-Z-P-R-P-A-N-N-J-N-N-V;0;0;1;12
N-Z-P-R-P-V-R-N-V-Z-Z-Z-Z-V;0;1;0;14
N-Z-N-P-V-D-Z-J-J-N-N-R-N-C-V-P-N-C-R-N-R-A-N-Z-V-P-A-Z-J-P-N-P-V-Z-V;0;1;0;35
N-R-Z-N-Z-Z-V-A-N-J-V-P-Z-P-V-N-J-D-P-R-P-V-V;0;1;0;23
N-R-A-N-D-V-R-A-N-Z-A-N-R-N-P-V-A-N-J-V;0;1;0;20
N-Z-J-J-D-N-Z-V-Z-J-J-D-Z-V;0;1;0;14
N-J-N-R-N-Z-V-P-V;0;1;0;9
N-Z-P-R-P-N-P-N-V;0;0;1;9
N-Z-P-N-R-P-N-V;0;0;1;8
V-A-N-Z-N-Z-D-V-D-C-V-Z-J-N;1;0;0;14
V-R-N-Z-V-D-R-N-Z-V-R-P-N;0;1;0;13
V-P-P-A-N;1;0;0;5
V-N-Z-T-A-N;1;0;0;6
V-D-D-Z-J-V-A-V-R-P-N;0;1;0;11
V-R-P-A-N-Z-V-N;0;1;0;8
V-D-J-R-N-D-V-N-J-N;0;1;0;10
V-J-A-N-Z-J-R-P-V-V-N;0;1;0;11
V-R-A-N-P-A-N-N;1;0;0;8
V-R-N-Z-V-R-P-N;0;1;0;8
V-R-P-N-J-N;11;0;0;6
V-P-R-P-D-D-Z-V-P-R-N-D-A-N;0;1;0;14
V-R-N-N-D-A-J-A-N;1;0;0;9
V-J-P-Z-J-V-D-P-N-J-N;0;1;0;11
V-R-A-J-A-A-N;1;0;0;7
V-P-D-N-Z-J-N;0;1;0;7
V-D-J-V-P-D-N;0;2;0;7
V-Z-R-N-A-N-Z-R-N;0;1;0;9
V-N-R-N-A-J-D-A-N;1;0;0;9
V-D-J-D-Z-J-D-V-D-N;0;1;0;10
V-R-N-N-Z-J-N-R-P-A-N;0;1;0;11
V-R-N-J-R-N-P-N;1;0;0;8
V-R-Z-A-N-Z-Z-V-P-A-N-J-Z-N-Z-Z-V-P-V-R-Z-P-Z-P-P-P-V-Z-Z-V-P-N-Z-P-V-V-Z-Z-V-R-Z-P-N-Z-N-Z-N-J-Z-N;0;1;0;50
V-D-J-V-R-P-N-Z-J-V-Z-J-V-J-D-V-N;0;1;0;17
V-X-J-V-V-A-N;0;1;0;7
V-R-P-N-J-A-N-A-N-J-N;1;0;0;11
V-R-P-A-J-A-N;1;0;0;7
V-J-A-D-Z-J-P-D-V-N;0;1;0;10
V-P-R-Z-P-Z-D-V-P-V-R-Z-A-N-Z-Z-V-P-A-N-J-Z-N-Z-Z-V-P-V-R-Z-P-Z-P-P-P-V-Z-Z-V-P-N-Z-P-V-V-Z-Z-V-R-Z-P-N-Z-N-Z-N-J-Z-N;0;1;0;59
V-R-A-N-D-J-V-R-P-N;0;1;0;10
V-R-P-N-D-A-N-Z-N-J-N;1;0;0;11
V-R-X-A-N-Z-P-N-V-T-R-A-N;0;1;0;13
V-Z-P-A-N;1;1;0;5
V-D-Z-P-N;0;3;0;5
V-T-R-P-N-N-J-N;1;0;0;8
V-Z-R-N-D-R-N-N-V-V-Z-D-A-N;0;1;0;14
V-D-Z-V-D-A-Z-J-V-P-N-V-V-N;0;1;0;14
V-P-N-Z-V-F-N-Z-J-R-N-V-P-A-N;0;1;0;15
V-R-N-J-N-D-A-N;1;0;0;8
V-N-R-N;1;8;0;4
V-N-Z-T-Z-N;0;1;0;6
V-N-Z-J-J-N;1;0;0;6
V-A-Z-A-J-A-N;2;0;0;7
V-R-P-N-R-N-R-N-A-N;1;0;0;10
V-P-D-J-D-Z-N-N-N-V-Z-Z-V-N;0;1;0;14
V-A-J-D-D-D-A-N;1;0;0;8
V-Z-R-P-Z-J-V-A-A-N-J-V-N-Z-N;0;1;0;15
V-Z-D-V-R-P-V-N-N-J-D-V-A-N-Z-V-N;0;1;0;17
V-D-J-D-Z-V-N-N-V-J-N-J-R-A-N-N-N-P-V-R-N-J-N;0;1;0;23
V-P-A-N-J-N;1;0;0;6
V-R-P-Z-N-R-C-N-Z-A-N;1;0;0;11
V-A-Z-D-A-N;2;0;0;6
V-P-N-R-N-Z-R-N-A-J-A-N;3;0;0;12
V-R-P-Z-N-Z-N;1;0;0;7
V-R-N-A-D-N;1;0;0;6
V-D-D-J-B-J-B-Z-B-Z-V-D-A-N-Z-V-A-N;0;1;0;18
V-R-P-T-P-N;1;0;0;6
V-N-J-R-P-Z-P-P-V-Z-V-J-V-Z-V-V-N;0;1;0;17
V-P-D-Z-V-A-N-Z-P-N-V-R-A-N-R-N-Z-P-R-A-N-V-D-Z-V-N-Z-D-V-J-V-P-V-P-N-D-Z-J-D-V-R-N-Z-N-J-N;0;1;0;46
V-T-D-Z-V-P-N-J-D-P-V-Z-P-P-V-A-N;0;1;0;17
V-R-N-D-N-Z-R-A-N-V-D-N;0;1;0;12
V-Z-N-R-A-N-J-N-R-P-N-Z-J-D-A-N;0;1;0;16
V-D-D-Z-D-Z-P-D-P-R-P-D-V-A-N;0;1;0;15
V-D-D-Z-P-P-D-V-Z-J-P-P-D-V-J-A-Z-J-V-V-N-A-R-N-R-A-N-N-Z-P-V-D-A-A-N-Z-R-P-V-R-N-N;0;1;0;42
V-T-D-Z-J-N-V-P-N;0;1;0;9
V-P-A-N-Z-N-J-N;1;0;0;8
V-D-R-N-N-P-N-Z-J-D-P-N;1;0;0;12
N-V-N-Z-V-V-A-Z-P-P-V-R-N-J-V-Z-J-P-N-V-V;0;1;0;21
N-R-N-Z-N-Z-A-N-Z-N-J-A-N-Z-J-D-D-D-A-Z-J-P-V-R-N-R-N-J-N-Z-V-N-Z-J-A-N-J-R-P-V-D-P-R-P-V;0;1;0;45
N-Z-J-V-V-N-Z-P-R-P-D-V;0;1;0;12
N-Z-Z-R-N-P-V;0;1;0;7
V-V-P-R-P-D-D-Z-J-V-R-P-T-J-V-Z-T-Z-J-V-P-V-P-N;0;1;0;24
V-D-Z-D-P-P-V-R-A-N;0;1;0;10
V-R-P-R-P-P-N;1;0;0;7
V-P-N-Z-J-A-N;1;0;0;7
V-V-R-P-P-A-N;2;0;0;7
V-N-J-V-A-N;0;1;0;6
V-P-R-P-D-J-V-D-V-P-N;0;1;0;11
V-Z-J-A-Z-N;2;0;0;6
V-R-N-Z-P-P-V-D-P-N;0;1;0;10
V-R-N-P-N-J-P-N;1;0;0;8
V-N-Z-J-Z-A-J-A-Z-A-N;1;0;0;11
V-N-R-P-N-N;1;0;0;6
V-R-N-D-J-R-N-N;1;0;0;8
V-Z-A-N-R-P-A-N-J-N-J-A-Z-R-N-A-N;0;1;0;17
V-R-N-R-P-Z-J-T-V-V-R-B-P-N;0;1;0;14
V-J-A-N-A-N-Z-D-V-N-Z-J-A-N-Z-J-R-P-Z-D-A-Z-N-V-R-N-N-A-N-Z-J-N;0;1;0;32
V-J-A-A-N-J-V-R-P-N-Z-A-N;0;1;0;13
V-D-D-Z-J-R-A-N-V-N-J-N;0;1;0;12
V-R-A-N-A-N-Z-J-N;1;0;0;9
N-Z-J-R-P-A-V-V-Z-J-R-P-V-Z-J-J-P-J-N-V-Z-D-P-A-R-A-N-V;0;1;0;28
N-J-N-J-V;0;5;0;5
N-V-Z-Z-R-N-V-V-R-A-N-R-N-J-N-P-R-P-V;0;1;0;19
N-R-N-Z-J-J-P-A-N-V-V;0;1;0;11
N-R-N-J-A-N-P-V;0;1;0;8
N-J-N-V-P-Z-V;0;1;0;7
N-R-N-N-Z-C-Z-P-N-N-Z-C-Z-V;0;1;0;14
N-N-D-R-N-V;1;0;0;6
V-R-N-R-A-N-J-V-P-R-A-N-V-J-N-N-Z-P-T-R-N-V-D-A-N;0;1;0;25
V-P-D-D-Z-D-D-J-P-N-P-R-N-R-P-N-V-A-N;0;1;0;19
V-P-J-N-R-N-Z-P-V-A-N-J-N;0;1;0;13
V-D-Z-J-A-N;0;1;0;6
V-R-P-A-P-N;2;0;0;6
V-D-Z-J-V-P-Z-J-R-P-V-P-N;0;1;0;13
V-R-N-R-P-N-N;2;0;0;7
N-Z-J-J-P-N-V;0;1;0;7
N-Z-A-V-P-R-N-J-N-V;0;1;0;10
N-V-R-P-N-P-V;1;0;0;7
N-R-A-N-D-V;1;0;0;6
N-Z-P-V-Z-V-P-V-R-A-N-R-P-A-Z-V-R-N-N-Z-V-P-R-N-R-N-Z-R-A-N-V-Z-V-P-N-J-N-N-Z-V-J-V-P-Z-V-J-V-P-N-Z-R-N-Z-R-N-Z-V-A-J-A-N-Z-J-V-V-N-Z-V-V-P-P-V-Z-R-A-N-P-V;0;1;0;78
N-Z-P-V-Z-V-P-V-R-A-N-R-P-A-Z-V-R-N-N-Z-V-N-R-N-Z-R-N-N-P-V-Z-V-J-V-P-N-Z-Z-V-P-R-N-R-N-Z-R-A-N-V-Z-V-P-N-J-N-N-Z-V-J-V-P-Z-V-J-V-P-N-Z-R-N-Z-R-N-Z-V-A-J-A-N-Z-J-V-V-N-Z-V-V-P-P-V-Z-R-A-N-P-V;0;1;0;96
N-N-A-R-N-J-A-N-Z-R-P-P-V;0;1;0;13
N-J-N-Z-P-T-R-P-V;0;0;1;9
N-Z-N-V-J-V;0;1;0;6
N-R-N-N-N-T-R-N-R-A-N-N-N-N-Z-T-V-P-N-N-V-Z-T-D-D-D-Z-D-D-P-V;0;1;0;31
N-J-P-V;0;5;0;4
N-Z-D-P-V-A-Z-J-N-P-A-N-R-P-V-A-N-Z-P-N-P-V;0;1;0;22
N-J-R-A-V-A-N-Z-P-N-V;0;1;0;11
N-Z-P-P-N-V;0;0;2;6
N-V-V-V-Z-J-P-N-V-D-Z-J-V-A-Z-J-V;0;1;0;17
N-V-J-D-P-V-N-Z-P-R-P-V;0;1;0;12
N-N-Z-A-R-N-Z-V;0;1;0;8
V-D-Z-P-D-P-V-V-P-P-N;0;1;0;11
V-A-N-J-A-Z-J-A-N;1;0;0;9
V-R-N-A-N-R-P-A-N;2;0;0;9
V-P-D-D-D-J-P-A-N-P-D-V-N;0;1;0;13
V-Z-V-P-P-A-N-Z-R-P-V-N-V-Z-J-T-D-P-Z-P-R-P-D-V-Z-T-A-A-J-A-N-R-A-N;0;1;0;34
V-R-P-J-D-A-N;4;0;0;7
V-R-P-N-Z-R-N-N-Z-A-N;1;0;0;11
V-R-N-J-P-N-A-N;2;0;0;8
V-D-Z-V-P-P-A-N-Z-P-V-R-X-A-J-D-A-N-V-P-N;0;1;0;21
V-R-N-F-F-A-J-A-N;1;0;0;9
V-R-P-A-N-J-A-N-T-N;1;0;0;10
V-R-A-N-A-Z-A-N;1;0;0;8
V-R-P-T-J-A-N;1;0;0;7
V-Z-D-J-N-Z-R-N-P-N;1;0;0;10
V-D-R-P-A-N;2;1;0;6
V-D-D-R-N-Z-V-P-J-R-A-A-N;0;1;0;13
V-J-P-A-N;5;1;0;5
V-D-Z-D-Z-J-C-N-R-D-A-N-Z-P-P-D-C-V-R-N-J-V-R-P-A-N;0;1;0;26
V-Z-V-D-A-R-N-N-V-Z-Z-V-P-A-Z-Z-P-N-Z-P-V-D-A-Z-J-R-P-V-N;0;1;0;29
V-N-R-N-J-T-Z-D-P-V-N;0;1;0;11
V-N-N-R-P-N-A-N;1;0;0;8
V-Z-J-P-R-P-N-D-J-V-P-N;0;1;0;12
V-V-Z-V-P-V-N;0;1;0;7
V-R-A-N-Z-N-J-R-A-A-N-Z-Z-V-N-N-P-N;0;1;0;18
V-T-J-D-J-D-A-N;1;0;0;8
V-N-Z-N-Z-N;3;0;0;6
V-R-A-N-Z-V-Z-J-V-P-N;0;1;0;11
V-J-N-V-R-A-Z-J-P-V-Z-A-J-A-N;0;1;0;15
V-C-A-Z-D-A-N-Z-A-Z-B-Z-J-A-Z-B-Z-N-Z-A-N;1;0;0;21
V-A-Z-D-D-D-A-N;1;0;0;8
V-A-N-R-N-A-N-Z-J-N;1;0;0;10
V-R-A-N-A-N-Z-R-A-N-P-V-A-A-N-Z-P-P-N;0;1;0;19
V-Z-J-V-R-A-N-A-N-P-A-N;1;0;0;12
V-N-Z-D-P-V-Z-V-D-N;0;1;0;10
V-Z-J-R-P-N-Z-D-P-D-V-A-N;0;1;0;13
V-P-N-N;7;0;0;4
V-P-D-D-D-Z-J-P-V-A-N;0;1;0;11
V-R-A-C-N-D-J-D-A-N;1;0;0;10
V-R-B-J-R-A-N-P-A-N-J-N;1;0;0;12
V-A-N-Z-A-N-Z-N;0;1;0;8
V-D-D-J-A-N-Z-V-P-D-N-J-V-P-P-V-Z-P-P-P-R-A-N-V-Z-J-P-P-D-V-Z-J-V-V-N-Z-J-V-P-V-P-N;0;1;0;42
V-D-D-Z-V-P-N;0;3;0;7
V-R-N-D-R-N-A-N;1;0;0;8
V-R-P-A-A-N;6;0;0;6
V-N-N-D-A-N;3;0;0;6
V-J-N-J-V-N-R-P-J-P-D-D-Z-N-Z-P-A-Z-A-Z-A-N-Z-V-V-P-N;0;1;0;27
V-D-Z-D-V-P-R-P-V-V-Z-V-P-V-N;0;1;0;15
V-P-D-D-Z-C-Z-N-P-V-V-J-V-P-N;0;1;0;15
V-D-Z-J-N-V-Z-J-P-N;0;1;0;10
V-P-T-D-T-Z-T-D-Z-D-Z-J-R-N-R-N-V-V-N;0;1;0;19
V-Z-R-A-N-R-A-N-Z-R-A-N-N;1;0;0;13
V-R-P-N-J-R-P-A-N;1;0;0;9
V-R-N-D-Z-V-P-P-A-N-Z-P-V-R-X-A-J-D-A-N-V-P-N;0;1;0;23
V-J-D-A-N;3;0;0;5
V-R-N-C-A-N;1;0;0;6
N-Z-D-P-V-N-V;0;4;0;7
N-R-N-N-J-D-V-D-P-R-N-V;0;1;0;12
N-N-Z-P-V-B-V-Z-D-P-R-P-R-N-V;0;1;0;15
N-Z-J-N-N-N-Z-C-Z-P-V;0;1;0;11
N-Z-J-V-P-R-P-P-V-V;0;1;0;10
N-J-V-V-P-R-A-V-J-P-D-Z-J-N-Z-P-V;0;1;0;17
N-Z-N-V-A-N-Z-D-P-V-R-N-V;0;1;0;13
N-Z-N-Z-J-P-V-Z-J-P-R-P-V-V;0;1;0;14
N-Z-J-N-P-R-N-V;0;3;0;8
N-Z-V-P-A-Z-D-J-P-R-N-N-N-V-V;0;1;0;15
N-R-P-Z-D-V-P-N-V-V;0;1;0;10
N-Z-J-V-Z-J-N-V-Z-V-D-A-N-Z-A-N-P-N-Z-A-N-J-T-N-Z-P-P-V;0;1;0;28
N-R-P-Z-D-P-V-V;0;12;0;8
N-V-X-J-R-A-N-N-Z-V-Z-J-P-V-N-Z-J-P-T-V-Z-J-D-Z-Z-J-P-N-V-A-N-Z-A-N-R-C-N-Z-D-N-Z-R-P-P-V-Z-T-A-N-Z-P-V-D-D-A-Z-P-D-V;0;1;0;59
N-R-P-A-N-V;3;1;0;6
N-R-P-Z-D-P-V-N-P-N-V;0;1;0;11
N-V-T-V-Z-P-N-V-V-D-Z-J-V-P-N-V;0;1;0;16
N-A-N-Z-J-V-P-N-R-N-V-V;0;1;0;12
N-R-P-A-Z-N-Z-N-V-V-V-D-R-N-Z-V-D-V-N-R-P-Z-P-P-N-V-Z-P-V-N-R-N-Z-P-V-N-Z-D-P-V;0;1;0;40
N-Z-D-V-P-V-N-N-V;0;1;0;9
N-Z-J-P-D-N-A-N-V-V;0;1;0;10
N-N-N-N-Z-P-R-N-V-R-N-J-V-N-N-Z-D-P-V;0;1;0;19
N-V-D-D-Z-N-N-V-N-Z-J-D-Z-A-N-Z-Z-P-P-V;0;1;0;20
N-R-A-J-A-N-Z-V;0;2;0;8
N-Z-D-V-P-V-N-V;0;5;0;8
N-Z-J-J-R-P-N-V-Z-J-D-V-V-Z-J-V;0;1;0;16
N-Z-J-A-N-V-V-N-N-R-A-N-Z-J-P-T-D-V;0;1;0;18
N-R-P-D-P-N-V;0;1;0;7
N-J-V-V-P-V-T-N-R-N-Z-D-V-V-V-Z-J-P-V;0;1;0;19
N-R-N-R-P-Z-D-P-V-V-J-D-P-T-V;0;1;0;15
N-Z-P-D-V-V-A-N-Z-P-V-Z-D-P-P-N-R-N-V;0;1;0;19
N-Z-Z-R-N-R-P-Z-D-V-P-V-R-P-N-Z-V-P-V-Z-D-P-V;0;1;0;23
N-Z-V-V-P-V-Z-J-D-V-P-R-P-V;0;1;0;14
N-R-N-N-J-R-P-Z-D-P-V-V;0;1;0;12
N-R-P-Z-D-P-V;0;9;0;7
N-Z-J-D-Z-J-R-A-N-X-Z-P-V;0;1;0;13
N-Z-J-J-R-N-P-R-P-V;0;1;0;10
N-Z-V-R-N-N-Z-Z-V-N-R-P-N-N-J-D-V-Z-J-P-V;0;1;0;21
N-Z-J-Z-N-V-P-V-R-C-V;0;1;0;11
N-R-P-Z-D-V-P-V-N-V;0;7;0;10
N-V-Z-J-V-Z-J-V-P-R-P-N-A-N-Z-N-N-V-D-V-P-X-C-P-Z-P-P-R-P-V;0;1;0;30
N-J-N-Z-J-D-P-A-N-V;0;1;0;10
N-R-A-Z-Z-N-N-Z-J-P-R-P-N-T-V-J-V;0;1;0;17
N-Z-J-N-A-D-D-A-N-A-N-V-V-V-J-N-Z-R-P-N-N-V-N-J-V-R-N-V-D-N-J-V;0;1;0;32
N-Z-J-D-P-V-D-A-V;0;1;0;9
N-N-N-Z-V-A-N-R-N-A-N-N-N-N-J-P-R-P-P-T-P-N-V-D-V-R-N-N-N-N-Z-D-P-V;0;1;0;34
N-R-P-N-J-N-Z-D-P-V;0;2;0;10
N-R-P-Z-D-P-P-N-V;0;1;0;9
N-C-N-R-B-Z-B-Z-R-P-Z-D-P-V-V;0;1;0;15
N-Z-T-T-V-A-N-Z-J-A-N-P-D-R-P-R-N-V;0;1;0;18
N-R-A-N-N-Z-J-P-V-R-B-Z-N-A-N-R-N-N-P-V;0;1;0;20
N-R-A-N-Z-P-V;0;2;0;7
N-Z-V-D-A-N-Z-J-P-P-V;0;1;0;11
N-R-P-Z-D-V-P-V-V;0;4;0;9
N-Z-A-N-P-Z-T-R-N-Z-V-R-P-Z-J-V-N-N-J-C-N-R-P-V-Z-J-D-T-R-P-Z-J-P-R-P-N-V;0;1;0;37
N-J-V-P-Z-R-N-Z-D-V;0;1;0;10
N-Z-R-P-N-P-V;0;1;0;7
N-Z-J-V-P-V-V;0;14;0;7
N-Z-J-N-P-V-V;0;4;0;7
N-R-P-J-R-P-N-J-R-P-P-V;0;1;0;12
N-Z-J-R-N-B-Z-N-P-R-N-N-V-A-N-Z-P-P-P-V;0;1;0;20
N-V-J-A-N-N-N-Z-Z-R-A-N-Z-P-V-P-A-N-Z-P-V-V;0;1;0;22
N-V-D-A-J-R-N-P-D-V;0;2;0;10
N-V-T-P-D-A-Z-J-V;0;1;0;9
N-Z-J-N-V-J-R-N-V-N-J-N-Z-D-P-V-V;0;1;0;17
N-V-V-D-A-Z-D-A-Z-T-J-V-P-N-V-R-N-R-P-Z-J-R-N-D-V-A-N-V-Z-D-V-P-N-Z-N-Z-P-V-V-R-N-N-Z-A-J-P-V-Z-V-J-V-Z-D-P-D-V;0;1;0;56
N-Z-X-X-V-Z-V-N-A-N-J-V-D-N-Z-Z-V-P-V;0;1;0;19
N-Z-P-D-D-R-N-A-N-V-J-R-P-D-P-R-P-V;0;1;0;18
N-Z-J-J-V-N-V;0;1;0;7
N-N-R-N-N-F-V-J-A-N-N-Z-V-A-Z-D-P-V;0;1;0;18
N-Z-J-V-P-N-Z-V-Z-D-V-R-N-Z-D-P-V;0;1;0;17
N-Z-D-V-P-R-P-V;0;2;0;8
N-J-D-P-V-D-Z-D-P-V;0;1;0;10
N-N-J-V-P-P-R-N-Z-V;0;1;0;10
N-Z-P-V-P-Z-J-D-P-C-N-V-Z-J-P-P-V;0;1;0;17
N-Z-J-J-N-R-P-Z-J-R-N-V-V-N-Z-V-A-Z-J-N-A-Z-C-B-Z-T-V;0;1;0;27
N-C-N-Z-Z-V-N-N-N-J-V-Z-Z-V-P-J-V-P-R-P-Z-J-C-N-V-V-N-J-N-R-N-P-Z-J-P-P-V;0;1;0;37
N-Z-J-D-J-V-A-N-Z-V-V-V;0;1;0;12
N-Z-J-D-P-R-P-V-R-P-V;0;1;0;11
N-R-N-Z-D-P-V-J-V-P-Z-T-J-V-N-Z-J-T-P-P-V;0;1;0;21
N-R-P-Z-D-V-P-R-P-R-N-V;0;1;0;12
N-V-N-A-N-R-N-N-N-Z-P-D-A-N-V;0;1;0;15
N-V-N-N-N-Z-B-Z-Z-Z-N-V-R-N-N-Z-J-V-P-R-N-V-V;0;1;0;23
N-A-N-R-C-N-V-R-N-N-Z-J-R-N-Z-V-R-N-Z-J-R-P-Z-J-P-D-V;0;1;0;27
N-J-V-P-R-N-V;0;1;0;7
N-R-P-Z-P-N-V-N-N-N-N-Z-V-D-R-N-Z-J-A-N-P-V;0;1;0;22
N-V-N-Z-J-N-P-D-V;0;1;0;9
N-N-Z-J-P-V;0;5;0;6
N-J-D-N-Z-D-P-V-R-A-N-V;0;1;0;12
N-Z-J-N-V-N-V-V-Z-Z-V-P-Z-P-V-P-D-V;0;1;0;18
N-Z-P-P-V;0;1;1;5
N-Z-D-V-P-V-V;0;6;0;7
N-Z-P-V-R-X-Z-J-J-N-V-V-P-Z-D-P-V;0;1;0;17
N-Z-J-P-Z-J-D-N-Z-D-V;0;1;0;11
N-J-T-V-Z-J-P-V-P-P-P-R-P-V-D-D-Z-D-V-V-Z-D-P-D-V;0;1;0;25
N-R-N-Z-P-D-V-Z-R-P-Z-D-P-V-N-V-V;0;1;0;17
N-V-Z-J-V-P-V-D-Z-D-P-V-Z-J-P-V;0;1;0;16
N-R-P-N-V-V-Z-Z-R-N-Z-P-D-P-D-V-R-N-Z-V-D-P-V;0;1;0;23
N-Z-J-N-P-V;0;30;0;6
N-N-B-N-N-Z-J-A-N-P-V;0;1;0;11
N-Z-P-P-V-R-A-N-Z-J-P-A-N-V;0;1;0;14
N-R-P-N-Z-J-V-P-N-Z-P-V-V-N-N-V;0;1;0;16
N-P-N-N-D-V-Z-D-V-Z-J-V-A-N-Z-P-P-V;0;1;0;18
N-A-N-N-J-V;0;1;0;6
N-R-N-J-V-N-J-N-A-N-Z-P-P-V-Z-J-N-N-V;0;1;0;19
N-R-N-Z-J-N-V-D-A-N-R-P-Z-D-V-P-V-N-V;0;1;0;19
N-P-Z-P-P-J-P-N-V-V;0;1;0;10
N-Z-J-A-N-V-N-A-N-Z-V-P-N-Z-P-V-R-N-Z-P-P-V;0;1;0;22
N-N-N-Z-N-R-N-B-R-N-N-F-Z-Z-Z-R-N-V-N-Z-P-V-N-V-R-P-Z-J-P-V;0;1;0;30
N-J-N-Z-V-Z-J-N-C-N-J-D-P-P-V-Z-V;0;1;0;17
N-D-J-D-V-Z-J-J-P-T-V-V-Z-V-R-P-V;0;1;0;17
N-Z-J-R-N-A-N-R-A-N-R-A-N-Z-A-A-N-Z-N-B-Z-J-B-Z-N-Z-P-V;0;1;0;28
N-C-N-R-A-N-R-P-Z-D-P-V-V;0;1;0;13
N-Z-J-N-Z-P-P-V;0;2;0;8
N-Z-J-J-P-N-V-A-N-Z-D-P-V;0;1;0;13
N-R-P-Z-D-P-N-V;0;14;0;8
N-Z-J-P-V-D-V;0;1;0;7
N-V-J-N-N-N-Z-B-Z-Z-Z-A-N-V-T-R-P-A-J-R-P-Z-D-P-D-V;0;1;0;26
N-D-Z-V-P-R-P-T-N-Z-R-P-P-N-J-N-V-R-N-Z-Z-V-R-N-N-J-A-N-B-Z-N-N-J-V-D-R-D-A-N-Z-D-P-V-V-N-Z-D-Z-N-Z-P-P-J-N-V;0;2;0;55
N-R-A-P-A-N-R-B-Z-P-P-V;0;1;0;12
N-V-J-N-N-B-Z-N-Z-P-C-A-N-R-N-V;0;1;0;16
N-N-N-J-N-Z-J-B-N-V-N-Z-J-P-V;0;1;0;15
N-D-A-N-Z-R-P-P-N-V;0;1;0;10
N-V-V-Z-J-A-N-R-A-N-V-V-D-Z-V;0;1;0;15
N-N-Z-V;0;4;0;4
N-R-A-N-Z-P-D-V-D-N-J-V-P-V;0;2;0;14
N-Z-N-R-P-Z-J-V-V-P-N-Z-P-P-R-P-J-V;0;1;0;18
N-Z-J-J-N-V-Z-A-N-V-Z-J-J-A-N-V-Z-N-V-Z-Z-J-V-Z-J-N-V-P-N-R-A-A-N-Z-A-N-Z-P-V-V-V-Z-V-V;0;1;0;44
N-P-N-Z-P-D-J-P-A-N-V-Z-J-N-N-P-V;0;1;0;17
N-Z-J-N-P-R-P-V-V;0;1;0;9
N-Z-J-V-Z-J-R-A-N-P-D-V;0;1;0;12
N-A-N-Z-T-P-D-D-V;0;1;0;9
N-A-R-A-N-P-D-B-V;0;1;0;9
N-V-J-A-N-N-N-Z-Z-V-Z-J-N-V-D-Z-J-V-P-D-V-P-N-Z-Z-V-N-Z-R-P-V-R-C-N-D-D-N-Z-J-N-V-V-P-Z-D-P-R-P-N-D-R-N-V;0;1;0;53
N-Z-J-A-N-V-N-N-Z-J-P-R-C-Z-A-N-V;0;1;0;17
N-A-N-Z-P-P-D-V;0;1;0;8
N-Z-J-P-P-N-V;0;12;0;7
N-J-N-R-P-Z-D-V-P-N-V-R-P-D-V;0;1;0;15
N-P-N-R-N-J-V-V-D-R-N-R-N-N-N-R-B-Z-B-Z-P-V-Z-J-V;0;1;0;25
N-R-P-Z-D-V-R-A-N-Z-D-P-V;0;1;0;13
N-R-A-N-V-J-D-P-V-J-P-Z-J-P-V;0;1;0;15
N-R-A-N-R-B-Z-P-T-N-V;0;1;0;11
N-V-Z-V-P-D-R-B-X-Z-J-A-N-P-R-A-N-V;0;1;0;18
N-Z-J-R-P-P-D-V;0;3;0;8
